,tags,Allen_electronegativity_A,E_vacum_level_A,gap_dir_A,HSE_CBM_A,HSE_VBM_A,lattice_a_A,lattice_b_A,lattice_c_A,lattice_alpha_A,lattice_beta_A,lattice_gamma_A,Allen_electronegativity_B,E_vacum_level_B,gap_dir_B,HSE_CBM_B,HSE_VBM_B,lattice_a_B,lattice_b_B,lattice_c_B,lattice_alpha_B,lattice_beta_B,lattice_gamma_B,Type,Ecc,Evv,Ecv,Etotal,Allen_elec_diff,Ecc_Ecv_diff,Type_Allen_010,Type_Allen_010_diff_06,A-CBM,A-VBM,B-CBM,B-VBM,A-band gap,B-band gap,Low X(H2),Low X(O2)
2775,SnO2-2dm-5126/AgI-2dm-4861,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.185013386,2.589,TRUE,-3.2846,-6.4109,4.350368,4.350368,23.624085,90,90,90,Type-II_B,2.1676,3.2227999999999994,0.9586999999999994,6.349099999999999,1.169909961,1.2089000000000008,Z-scheme_B,Z-scheme_B,,,,,,,,
2776,SnO2-2dm-5126/Mg2Al2Se5-2dm-4027,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.268670427,3.939,TRUE,-3.2131,-5.4725,3.878769,3.878769692,32.800694,90,90,120.0000026,Type-II_B,2.2391000000000005,4.161199999999999,0.020299999999999763,6.420599999999999,1.0862529200000002,2.2188000000000008,Z-scheme_B,Z-scheme_B,,,,,,,,
2777,SnO2-2dm-5126/AgN3-2dm-3449,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.650243418,1.231,FALSE,-2.6282,-5.7116,5.409575,6.348511,21.248845,90,90,90,Type-II_B,2.8240000000000003,3.9220999999999995,0.2593999999999994,7.0055,0.7046799290000001,2.564600000000001,Z-scheme_B,Z-scheme_B,,,,,,,,
2778,SnO2-2dm-5126/Mg(AlS2)2-2dm-3543,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.422797811,3.878,FALSE,-2.8871,-6.0035,3.686203,3.686202868,29.038372,90,90,59.99998984,Type-II_B,2.5651,3.6301999999999994,0.5512999999999995,6.746599999999999,0.932125536,2.0138000000000007,Z-scheme_B,Z-scheme_B,,,,,,,,
2781,SnO2-2dm-5126/Al2ZnS4-2dm-3208,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.508125012,3.868,FALSE,-3.1115,-5.6509,3.657106,3.65710676,28.962192,90,90,59.99998878,Type-II_B,2.3407000000000004,3.9827999999999992,0.19869999999999965,6.5222,0.8467983350000003,2.142000000000001,Z-scheme_B,Z-scheme_B,,,,,,,,
2782,SnO2-2dm-5126/Mg(AlSe2)2-2dm-4113,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.273420117,3.526,TRUE,-3.296,-5.5381,3.885535,3.885534735,29.62725,90,90,60.00000626,Type-II_B,2.1562000000000006,4.095599999999999,0.0859,6.3377,1.08150323,2.070300000000001,Z-scheme_B,Z-scheme_B,,,,,,,,
2786,SnO2-2dm-5126/Ag2SO4-2dm-4885,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.909470637,1.433,FALSE,-3.2547,-6.9291,4.952409,6.286010538,21.762309,90,90,113.1988299,Type-II_B,2.1975000000000002,2.7045999999999992,1.4768999999999997,6.379,0.4454527100000001,0.7206000000000006,Z-scheme_B,Z-scheme_B,,,,,,,,
2789,SnO2-2dm-5126/As-2dm-3312,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.210777757,1.771,FALSE,-3.5758,-5.8068,3.603291,3.603291646,21.287882,90,90,59.99999675,Type-II_B,1.8764000000000003,3.8268999999999993,0.3545999999999996,6.057899999999999,1.1441455900000004,1.5218000000000007,Z-scheme_B,Z-scheme_B,,,,,,,,
2791,SnO2-2dm-5126/AgNO3-2dm-4750,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,3.057361059,0.95,FALSE,-2.7082,-6.8287,5.252387,5.25238712,20.973331,90,90,60.00000706,Type-II_B,2.744,2.804999999999999,1.3765,6.9254999999999995,0.29756228799999995,1.3675000000000002,Z-scheme_B,Z-scheme_B,,,,,,,,
2802,SnO2-2dm-5126/CuTe2Br-2dm-5156,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.297216264,2.155,FALSE,-4.0989,-5.854,5.128019,8.228238,22.97503,90,90,90,Type-II_B,1.3533,3.779699999999999,0.4017999999999997,5.534799999999999,1.0577070830000004,0.9515000000000002,Z-scheme_B,Z-scheme_B,,,,,,,,
2805,SnO2-2dm-5126/CuBr-2dm-3405,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.384556157,1.176,TRUE,-2.796,-5.5378,4.071361,4.071361703,20,90,90,120.0000187,Type-II_B,2.6562000000000006,4.095899999999999,0.0856,6.8377,0.9703671900000002,2.570600000000001,Z-scheme_B,Z-scheme_B,,,,,,,,
2810,SnO2-2dm-5126/Bi2Te3-2dm-4406,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.119205791,3.886,FALSE,-4.3906,-5.8357,4.390405,4.390405888,27.568998,90,90,59.99999916,Type-II_B,1.0616000000000003,3.797999999999999,0.38349999999999973,5.243099999999999,1.235717556,0.6781000000000006,Z-scheme_B,Z-scheme_B,,,,,,,,
2823,SnO2-2dm-5126/Ba(BSe3)2-2dm-4261,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.349290662,1.699,FALSE,-2.6934,-5.8985,6.868421395,6.868421286,22.879151,90,90,112.1569886,Type-II_B,2.7588000000000004,3.735199999999999,0.4462999999999999,6.940299999999999,1.0056326850000001,2.3125000000000004,Z-scheme_B,Z-scheme_B,,,,,,,,
2825,SnO2-2dm-5126/CuI-2dm-4972,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.255386928,2.772,TRUE,-2.2347,-5.5524,4.10572,4.105718789,23.8053,90,90,119.9999936,Type-II_B,3.2175000000000002,4.0813,0.10019999999999918,7.398999999999999,1.099536419,3.117300000000001,Z-scheme_B,Z-scheme_B,,,,,,,,
2832,SnO2-2dm-5126/CuBr-2dm-3517,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.384526159,2.105,TRUE,-3.2117,-6.3827,3.776496,3.776496,23.172597,90,90,90,Type-II_B,2.2405000000000004,3.2509999999999994,0.9304999999999994,6.421999999999999,0.9703971880000002,1.310000000000001,Z-scheme_B,Z-scheme_B,,,,,,,,
2835,SnO2-2dm-5126/CuTe2I-2dm-5239,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.218082663,2.359,FALSE,-4.0904,-5.8118,5.167785,8.43491,23.272398,90,90,90,Type-II_B,1.3618000000000006,3.8218999999999994,0.3595999999999995,5.5432999999999995,1.136840684,1.002200000000001,Z-scheme_B,Z-scheme_B,,,,,,,,
