Unnamed: 0,Allen_electronegativity_A,E_vacum_level_A,HSE_CBM_A,HSE_VBM_A,lattice_a_A,lattice_b_A,lattice_c_A,lattice_alpha_A,lattice_beta_A,lattice_gamma_A,Allen_electronegativity_B,E_vacum_level_B,HSE_CBM_B,HSE_VBM_B,lattice_a_B,lattice_b_B,lattice_c_B,lattice_alpha_B,lattice_beta_B,lattice_gamma_B
6834,3.081371048,2.211,-6.2463,-9.5867,2.917332,7.69231394,21.926218,90.0,90.0,100.9309837,2.580497711,2.143,-2.3479,-6.4193,3.628011,3.628011517,22.665532,90.0,90.0,120.0000044
1489,3.227378845,2.09,-5.3055,-9.5108,2.988661,2.988661314,21.93527,90.0,90.0,60.00001454,2.537340221,2.642,-3.873,-5.6928,3.891863,7.470163032,24.722308,90.0052846,90.0,90.0
7800,3.174905366,1.66,-5.7171,-7.9989,3.831025,6.947884,22.082157,90.0,90.0,90.0,2.325840722,2.697,-3.5923,-6.395,3.796432,3.796431519,24.817544,90.0,90.0,120.0000042
5402,2.185013386,2.589,-3.2846,-6.4109,4.350368,4.350368,23.624085,90.0,90.0,90.0,3.174905366,1.66,-5.7171,-7.9989,3.831025,6.947884,22.082157,90.0,90.0,90.0
8768,2.183128935,3.721,-4.4877,-5.8598,4.304155,4.304156487,27.387606,90.0,90.0,60.00000374,2.663997204,2.944,-5.5874,-7.1332,3.256114,3.945636,25.224666,90.0,90.0,90.0
6540,3.919501276,1.768,-5.6745,-7.469,3.670817,4.412889,23.822026,90.0,90.0,90.0,2.514443922,2.391,-3.59,-7.0197,4.273197,4.273196614,23.435848,90.0,90.0,119.9999952
6807,3.081371048,2.211,-6.2463,-9.5867,2.917332,7.69231394,21.926218,90.0,90.0,100.9309837,2.579865264,2.721,-3.6349,-6.8806,3.559545,4.099471,25.912778,90.0,90.0,90.0
11436,2.303892619,2.057,-3.8723,-6.3821,5.406426,5.406426,22.609187,90.0,90.0,90.0,2.927859221,1.785,-6.271,-7.9935,3.589639,6.904116,22.721063,90.0,90.0,90.0
4836,2.848545305,1.873,-5.5614,-7.5309,3.884086,7.280273,22.803907,90.0,90.0,90.0,2.579865264,2.721,-3.6349,-6.8806,3.559545,4.099471,25.912778,90.0,90.0,90.0
6852,3.081371048,2.211,-6.2463,-9.5867,2.917332,7.69231394,21.926218,90.0,90.0,100.9309837,2.303892619,2.057,-3.8723,-6.3821,5.406426,5.406426,22.609187,90.0,90.0,90.0
7804,3.174905366,1.66,-5.7171,-7.9989,3.831025,6.947884,22.082157,90.0,90.0,90.0,2.161103034,3.021,-3.6164,-5.7759,4.115173,4.115171573,25.019273,90.0,90.0,120.0000034
2101,3.283379526,2.432,-5.5224,-7.2131,3.051295,3.952744,24.334873,90.0,90.0,90.0,2.909470637,1.433,-3.2547,-6.9291,4.952409,6.286010538,21.762309,90.0,90.0,113.1988299
4168,2.812333403,2.284,-5.1279,-8.4067,3.145525,3.145525133,21.895886,90.0,90.0,119.9999881,2.173133607,2.612,-2.551,-6.1333,4.089094,4.089029766,23.144466,90.0,90.0,60.00051416
5500,2.268670427,3.939,-3.2131,-5.4725,3.878769,3.878769692,32.800694,90.0,90.0,120.0000026,3.097636677,1.463,-4.7591,-8.0725,4.924892,4.924892,21.851947,90.0,90.0,90.0
8633,2.404358252,2.169,-3.1609,-7.2941,3.851835,3.85183615,23.107331,90.0,90.0,119.9999987,3.071350867,2.308,-7.1761,-8.9033,2.885048,2.886912273,21.911947,90.0,90.0,60.0419876
1849,2.124274421,3.072,-3.3544,-5.4683,3.294968,3.29496714,23.362456,90.0,90.0,120.0000086,2.308254936,3.465,-5.0144,-6.4708,4.151019,4.151020198,27.040325,90.0,90.0,60.00000158
6534,3.919501276,1.768,-5.6745,-7.469,3.670817,4.412889,23.822026,90.0,90.0,90.0,2.276049764,2.42,-4.4662,-6.0393,3.852288,6.821241,23.212728,90.0,90.0,90.0
1680,2.328583047,1.868,-3.802,-6.3337,5.192313,5.314661014,21.102196,90.0,90.0,89.99647714,3.081371048,2.211,-6.2463,-9.5867,2.917332,7.69231394,21.926218,90.0,90.0,100.9309837
